line,level1,level2
Green Product Design and Lifecycle Analysis: Innovating in the design of products that are environmentally friendly throughout their lifecycle.,Environmental protection,R&D Environmental protection
Soil Health and Land Degradation: Studying methods to prevent land degradation and promote soil health.,Environmental protection,R&D Environmental protection
Environmental Monitoring Technologies: Developing advanced sensors and monitoring systems to track environmental changes and hazards.,Environmental protection,R&D Environmental protection
"Sustainable Transportation Solutions: Research into sustainable transportation options, including electric and hydrogen vehicles.",Environmental protection,R&D Environmental protection
Ecosystem Services Assessment and Valuation: Valuing and assessing the services provided by natural ecosystems.,Environmental protection,R&D Environmental protection
Bioremediation Techniques: Developing methods to use living organisms for environmental cleanup and restoration.,Environmental protection,R&D Environmental protection
Environmental Health and Toxicology: Research into the impacts of environmental factors on human health and ecosystems.,Environmental protection,R&D Environmental protection
Climate Resilient Infrastructure: Developing infrastructure solutions that are resilient to climate change impacts.,Environmental protection,R&D Environmental protection
Sustainable Water Resource Management: Innovations in managing water resources sustainably to meet future demands.,Environmental protection,R&D Environmental protection
Green Nanotechnology: Exploring the use of nanotechnology in environmental applications.,Environmental protection,R&D Environmental protection
Environmental Policy and Economic Research: Studying the economic impacts of environmental policies and finding cost-effective solutions.,Environmental protection,R&D Environmental protection
Adaptation Strategies to Climate Change: Researching how societies can adapt to the effects of climate change.,Environmental protection,R&D Environmental protection
Affordable Housing Construction Projects: Funding for the construction of affordable housing units for low-income families.,Housing and community amenities,Housing development
Subsidies for First-Time Home Buyers: Financial assistance to help first-time buyers purchase homes.,Housing and community amenities,Housing development
Public Housing Renovation and Upkeep: Investment in maintaining and upgrading existing public housing facilities.,Housing and community amenities,Housing development
Eco-Friendly Housing Developments: Funding for the development of environmentally sustainable housing projects.,Housing and community amenities,Housing development
Emergency Housing Assistance: Resources for providing temporary housing in emergency situations or disasters.,Housing and community amenities,Housing development
Housing Voucher Programs: Implementation of voucher systems to assist in covering housing costs for eligible families.,Housing and community amenities,Housing development
Home Rehabilitation and Improvement Loans: Offering loans or grants for homeowners to repair and improve their homes.,Housing and community amenities,Housing development
Land Acquisition for Housing Development: Funding for acquiring land specifically for the development of new housing projects.,Housing and community amenities,Housing development
Support for Homelessness Prevention Programs: Initiatives aimed at preventing homelessness through various support services.,Housing and community amenities,Housing development
Senior Housing Development: Development of housing specifically designed for the needs of senior citizens.,Housing and community amenities,Housing development
Disabled-Accessible Housing Projects: Funding for housing projects with accessibility features for people with disabilities.,Housing and community amenities,Housing development
Urban Redevelopment Initiatives: Programs for the redevelopment of urban areas to create new housing opportunities.,Housing and community amenities,Housing development
Rural Housing Development: Special initiatives to develop housing in rural areas.,Housing and community amenities,Housing development
Community Housing Partnerships: Collaborations with private developers to create mixed-income housing communities.,Housing and community amenities,Housing development
Housing Market Research and Analysis: Research into housing market trends to inform policy and development strategies.,Housing and community amenities,Housing development
Incentives for Energy-Efficient Housing: Incentives for builders and homeowners to construct or retrofit homes for energy efficiency.,Housing and community amenities,Housing development
Youth and Transitional Housing Programs: Provision of housing solutions for young adults transitioning out of foster care or youth shelters.,Housing and community amenities,Housing development
Zoning and Land Use Policy Development: Formulating policies that promote effective and sustainable housing development.,Housing and community amenities,Housing development
Housing for Indigenous Communities: Specialized housing programs addressing the needs of indigenous populations.,Housing and community amenities,Housing development
Housing Needs Assessments: Conducting assessments to identify and address specific housing needs within communities.,Housing and community amenities,Housing development
Housing Cooperatives Support: Assistance for the establishment and management of housing cooperatives.,Housing and community amenities,Housing development
Workforce Housing Initiatives: Development of housing options affordable for working-class families.,Housing and community amenities,Housing development
Tax Incentives for Affordable Housing Development: Providing tax incentives to encourage the development of affordable housing units.,Housing and community amenities,Housing development
Public-Private Partnership Models in Housing: Encouraging public-private partnerships to leverage resources for housing development.,Housing and community amenities,Housing development
Regulatory Reforms for Housing Development: Implementing regulatory changes to streamline and facilitate housing development.,Housing and community amenities,Housing development
Neighborhood Revitalization Projects: Funding for the revitalization of underserved or deteriorating neighborhoods.,Housing and community amenities,Community development
Community Center Construction and Upkeep: Investment in building and maintaining community centers that offer various local services.,Housing and community amenities,Community development
"Public Space Improvement Initiatives: Enhancing public spaces like parks, playgrounds, and green spaces.",Housing and community amenities,Community development
Local Economic Development Programs: Initiatives to stimulate economic growth and job creation in local communities.,Housing and community amenities,Community development
"Infrastructure Upgrades in Communities: Funding for upgrading essential infrastructure like roads, sidewalks, and lighting.",Housing and community amenities,Community development
Community Safety and Crime Prevention Programs: Initiatives to improve safety and reduce crime in neighborhoods.,Housing and community amenities,Community development
Public Art and Beautification Projects: Investment in public art projects and beautification efforts to enhance community aesthetics.,Housing and community amenities,Community development
Small Business Support and Incubation: Programs to support local small businesses and encourage entrepreneurship.,Housing and community amenities,Community development
Historical Preservation and Cultural Projects: Funding for the preservation of historical sites and the promotion of local culture.,Housing and community amenities,Community development
Sustainable Community Practices: Funding for projects that promote sustainability and environmental responsibility at the community level.,Housing and community amenities,Community development
Youth and Senior Services: Programs and facilities catering to the needs of youth and elderly residents.,Housing and community amenities,Community development
Affordable Childcare Facilities: Support for affordable childcare services within communities.,Housing and community amenities,Community development
Local Transportation Improvement Projects: Enhancing local transportation options for better accessibility.,Housing and community amenities,Community development
Community Technology Access and Training: Providing access to technology and digital literacy training in communities.,Housing and community amenities,Community development
Urban Greening and Tree Planting Initiatives: Programs to increase greenery and tree cover in urban areas.,Housing and community amenities,Community development
Community Emergency Preparedness: Resources for preparing communities for emergencies and natural disasters.,Housing and community amenities,Community development
Social Inclusion and Diversity Programs: Initiatives to promote inclusivity and diversity in community development.,Housing and community amenities,Community development
Community Energy Efficiency Projects: Investment in energy efficiency projects for communal facilities.,Housing and community amenities,Community development
Community-based Waste Management Solutions: Localized solutions for effective waste management and recycling.,Housing and community amenities,Community development
Homelessness Intervention and Support Programs: Programs aimed at addressing homelessness within communities.,Housing and community amenities,Community development
Local Sports and Recreation Facilities: Development and maintenance of sports and recreational facilities for community use.,Housing and community amenities,Community development
Community-led Urban Agriculture: Supporting urban farming and community gardens.,Housing and community amenities,Community development
Social Housing and Co-housing Initiatives: Innovative housing solutions that promote social interaction and community living.,Housing and community amenities,Community development
Participatory Planning and Community Engagement: Encouraging community involvement in planning and development decisions.,Housing and community amenities,Community development
Drinking Water Treatment Facility Construction: Building new facilities to treat and purify water for safe consumption.,Housing and community amenities,Water supply
Water Supply Network Expansion: Extending water supply networks to reach underserved or newly developed areas.,Housing and community amenities,Water supply
"Maintenance and Upgrading of Water Infrastructure: Regular maintenance and upgrades of pipes, pumps, and reservoirs.",Housing and community amenities,Water supply
Water Quality Monitoring Systems: Implementation of systems to continuously monitor the quality of the water supply.,Housing and community amenities,Water supply
Rainwater Harvesting and Storage Projects: Initiatives to capture and store rainwater for community use.,Housing and community amenities,Water supply
"Groundwater Replenishment Programs: Activities to recharge groundwater sources, including aquifer recharge.",Housing and community amenities,Water supply
Drought Resilience Measures: Investments in technologies and infrastructure to ensure water supply during drought periods.,Housing and community amenities,Water supply
Water Conservation Public Awareness Campaigns: Campaigns to educate the public about water conservation methods.,Housing and community amenities,Water supply
Smart Water Management Technologies: Advanced technologies for efficient water distribution and usage monitoring.,Housing and community amenities,Water supply
Leak Detection and Repair Programs: Initiatives to detect and repair leaks in the water supply system to reduce water loss.,Housing and community amenities,Water supply
Desalination Plant Development: Construction and operation of desalination plants to convert seawater into drinking water.,Housing and community amenities,Water supply
Water Supply Contingency Planning: Development of plans to ensure water supply during emergencies or infrastructure failures.,Housing and community amenities,Water supply
Rural Water Supply Schemes: Projects to provide reliable water supply to rural and remote communities.,Housing and community amenities,Water supply
Water Efficiency Incentives for Households: Programs offering incentives for households to adopt water-efficient appliances and fixtures.,Housing and community amenities,Water supply
Water Source Protection Initiatives: Efforts to protect and preserve natural water sources from pollution and overuse.,Housing and community amenities,Water supply
"Sustainable Water Resource Management: Integrated management of water resources to balance social, economic, and environmental needs.",Housing and community amenities,Water supply
Water Meter Installation and Upgrades: Installing and upgrading water meters for better consumption tracking and billing.,Housing and community amenities,Water supply
"Wastewater Recycling for Non-Potable Use: Systems to treat and reuse wastewater for non-drinking purposes, such as irrigation.",Housing and community amenities,Water supply
Urban Water Supply Infrastructure: Specific focus on water supply challenges in dense urban areas.,Housing and community amenities,Water supply
Subsidized Water Access for Low-Income Households: Programs to ensure affordable water access for economically disadvantaged households.,Housing and community amenities,Water supply
Water Supply Data Analytics and Modeling: Use of data analytics to optimize water supply planning and operations.,Housing and community amenities,Water supply
Educational Programs on Water Usage: Educational initiatives in schools and communities about sustainable water use.,Housing and community amenities,Water supply
Climate Change Adaptation Measures for Water Supply: Ensuring water supply resilience against the impacts of climate change.,Housing and community amenities,Water supply
Public-Private Partnerships in Water Supply Projects: Collaborative projects between government and private entities to improve water supply infrastructure.,Housing and community amenities,Water supply
Water Treatment Technology Research and Development: Funding for the development of new water treatment technologies.,Housing and community amenities,Water supply
LED Street Lighting Upgrades: Conversion of existing street lights to energy-efficient LED technology.,Housing and community amenities,Street lighting
Street Light Installation in New Areas: Expanding street lighting to newly developed areas or previously unlit streets.,Housing and community amenities,Street lighting
"Maintenance of Existing Street Lighting: Regular maintenance of street lights, including bulb replacements and repairs.",Housing and community amenities,Street lighting
Smart Street Lighting Systems: Implementation of smart lighting systems that can be remotely controlled and monitored for efficiency.,Housing and community amenities,Street lighting
Solar-Powered Street Lights: Investment in solar-powered lighting solutions for sustainable and off-grid illumination.,Housing and community amenities,Street lighting
Street Light Pole Replacement and Upgrades: Upgrading old or damaged light poles for safety and aesthetic improvements.,Housing and community amenities,Street lighting
Energy Efficiency Programs for Street Lighting: Initiatives to reduce the energy consumption of street lighting systems.,Housing and community amenities,Street lighting
Automated Lighting Control Systems: Installation of automated systems for dimming lights during low-traffic hours to save energy.,Housing and community amenities,Street lighting
Decorative Street Lighting in Commercial Districts: Enhancing commercial districts with decorative lighting for ambience and attraction.,Housing and community amenities,Street lighting
Emergency Backup Systems for Street Lighting: Ensuring some street lights remain operational during power outages for public safety.,Housing and community amenities,Street lighting
Light Pollution Reduction Initiatives: Implementing designs and technologies to reduce light pollution while maintaining safety.,Housing and community amenities,Street lighting
Pedestrian-Focused Lighting in Residential Areas: Special lighting projects to improve visibility and safety for pedestrians in residential neighborhoods.,Housing and community amenities,Street lighting
Traffic Intersection Lighting Enhancements: Improving lighting at intersections and crossings for better traffic safety.,Housing and community amenities,Street lighting
Public Engagement on Street Lighting Needs: Community consultations to identify areas in need of better or improved lighting.,Housing and community amenities,Street lighting
Historic District Lighting Preservation: Maintaining and upgrading street lighting in historic districts in keeping with their character.,Housing and community amenities,Street lighting
Adaptive Lighting for Weather Conditions: Advanced systems that adapt street lighting based on weather conditions for optimal visibility.,Housing and community amenities,Street lighting
Lighting for Parks and Public Spaces: Enhancing lighting in parks and public spaces for extended usability and safety in evenings.,Housing and community amenities,Street lighting
Innovative Affordable Housing Design: Research into cost-effective and innovative designs for affordable housing.,Housing and community amenities,R&D Housing and community amenities
Sustainable Building Materials Development: Development of eco-friendly and sustainable building materials.,Housing and community amenities,R&D Housing and community amenities
Smart Home Technologies: Research and development of smart home systems that enhance energy efficiency and resident convenience.,Housing and community amenities,R&D Housing and community amenities
Urban Planning and Sustainable Development Studies: Studies on urban planning methodologies that promote sustainable and livable cities.,Housing and community amenities,R&D Housing and community amenities
Community Amenities Optimization: Research into optimizing community amenities for better resident satisfaction and efficiency.,Housing and community amenities,R&D Housing and community amenities
"Green Infrastructure and Urban Greening: R&D in green infrastructure to enhance urban environments, including parks, green roofs, and urban farms.",Housing and community amenities,R&D Housing and community amenities
Energy-efficient Building Design: Innovations in architectural design that improve building energy efficiency.,Housing and community amenities,R&D Housing and community amenities
Purchase of Vaccines: Funding for various vaccines for public health programs.,Health,"Medical products, appliances and equipment"
Antibiotics Procurement: Acquisition of antibiotics for healthcare facilities.,Health,"Medical products, appliances and equipment"
Antiviral Drugs: Purchase of antiviral medications for treating viral infections.,Health,"Medical products, appliances and equipment"
Cancer Treatment Drugs: Funding for oncology pharmaceuticals.,Health,"Medical products, appliances and equipment"
"Medication for Chronic Diseases: Procurement of drugs for conditions like diabetes, hypertension, etc.",Health,"Medical products, appliances and equipment"
Anesthetic Drugs: Purchase of anesthetics for surgical procedures.,Health,"Medical products, appliances and equipment"
Mental Health Medications: Funding for psychiatric and neurological medications.,Health,"Medical products, appliances and equipment"
Pediatric Medications: Purchase of drugs specifically formulated for children.,Health,"Medical products, appliances and equipment"
Emergency Medication Supplies: Stockpiling medications for emergency situations.,Health,"Medical products, appliances and equipment"
Hormonal Therapies: Procurement of hormonal drugs for various treatments.,Health,"Medical products, appliances and equipment"
National Commodities Warehousing Center (KEMSA),Health,"Medical products, appliances and equipment"
Procurement of Equipment at the National Blood Transfusion Services,Health,"Medical products, appliances and equipment"
Procurement of Anti TB Drugs Not covered under Global fund TB progra,Health,"Medical products, appliances and equipment"
Procurement of Family Planning & Reproductive Health Commodities,Health,"Medical products, appliances and equipment"
Supply of Medical Equipment and Associated Services,Health,"Medical products, appliances and equipment"
Special Global Fund TB Grant KEN-T- TNT,Health,"Medical products, appliances and equipment"
Vaccines and Immunizations.,Health,"Medical products, appliances and equipment"
Acquisition of COVID-19 Vaccines,Health,"Medical products, appliances and equipment"
Special Global Fund HIV Grant KEN-H- TNT.,Health,"Medical products, appliances and equipment"
Special Global Fund Malaria Grant KEN-M- TNT.,Health,"Medical products, appliances and equipment"
Special Global Fund TB Grant KEN-T-TNT.,Health,"Medical products, appliances and equipment"
National Immunization Programme,Health,"Medical products, appliances and equipment"
INSTALLATION OF INCINERATORS FOR DISCARDING MEDICAL WASTE,Health,"Medical products, appliances and equipment"
"Laboratory equipments, Medicine and Food.",Health,"Medical products, appliances and equipment"
Construction of IV fluids Factory,Health,"Medical products, appliances and equipment"
GAVI Contributions,Health,"Medical products, appliances and equipment"
Vaccine Alliance GAVI,Health,"Medical products, appliances and equipment"
Vaccine procurement ,Health,"Medical products, appliances and equipment"
Equipment of regional quality control laboratories and improvement of quality assurance system,Health,"Medical products, appliances and equipment"
Diagnostic Reagents: Acquisition of reagents used in medical diagnostics.,Health,"Medical products, appliances and equipment"
First Aid Supplies: Funding for first aid kits and supplies for healthcare facilities.,Health,"Medical products, appliances and equipment"
"Surgical Supplies: Purchase of disposable surgical items like gloves, masks, and gowns.",Health,"Medical products, appliances and equipment"
Intravenous (IV) Fluids: Procurement of IV fluids for patient care.,Health,"Medical products, appliances and equipment"
Dialysis Supplies: Acquisition of medical supplies for dialysis treatment.,Health,"Medical products, appliances and equipment"
"Wound Care Products: Funding for dressings, bandages, and other wound care materials.",Health,"Medical products, appliances and equipment"
Contraceptives: Purchase of various contraceptive products.,Health,"Medical products, appliances and equipment"
Blood Testing Kits: Funding for blood glucose and other testing kits.,Health,"Medical products, appliances and equipment"
Sterilization Supplies: Procurement of materials for sterilizing medical equipment.,Health,"Medical products, appliances and equipment"
Ophthalmic Supplies: Purchase of medical products for eye care.,Health,"Medical products, appliances and equipment"
MRI Machines: Acquisition of magnetic resonance imaging (MRI) machines.,Health,"Medical products, appliances and equipment"
X-Ray Machines: Funding for X-ray machines and related equipment.,Health,"Medical products, appliances and equipment"
Dialysis Machines: Purchase of dialysis machines for kidney treatment.,Health,"Medical products, appliances and equipment"
Surgical Instruments: Acquisition of various surgical tools and instruments.,Health,"Medical products, appliances and equipment"
Wheelchairs: Funding for wheelchairs and related mobility aids.,Health,"Medical products, appliances and equipment"
Respiratory Ventilators: Purchase of ventilators for critical care units.,Health,"Medical products, appliances and equipment"
Ultrasound Equipment: Acquisition of ultrasound imaging machines.,Health,"Medical products, appliances and equipment"
Defibrillators: Funding for defibrillators for emergency cardiac care.,Health,"Medical products, appliances and equipment"
Pacemakers: Purchase of cardiac pacemakers.,Health,"Medical products, appliances and equipment"
"Orthopedic Devices: Funding for prosthetics, braces, and other orthopedic devices.",Health,"Medical products, appliances and equipment"
Anesthesia Machines: Funding for machines used to administer anesthesia during surgery.,Health,"Medical products, appliances and equipment"
"Hospital Beds: Purchase of hospital beds, including specialized ICU beds.",Health,"Medical products, appliances and equipment"
Medical Refrigeration Units: Acquisition of refrigeration units for storing sensitive medications.,Health,"Medical products, appliances and equipment"
Telemedicine Equipment: Funding for equipment enabling remote medical consultations.,Health,"Medical products, appliances and equipment"
Medical Waste Disposal Systems: Purchase of systems for safe disposal of medical waste.,Health,"Medical products, appliances and equipment"
Nebulizers: Acquisition of nebulizers for respiratory treatment.,Health,"Medical products, appliances and equipment"
Blood Pressure Monitors: Funding for blood pressure monitors for patient care.,Health,"Medical products, appliances and equipment"
Infusion Pumps: Purchase of infusion pumps for administering medications.,Health,"Medical products, appliances and equipment"
Oxygen Therapy Equipment: Acquisition of oxygen concentrators and related supplies.,Health,"Medical products, appliances and equipment"
Fetal Monitoring Devices: Funding for devices to monitor fetal health during pregnancy.,Health,"Medical products, appliances and equipment"
Primary Care Clinics Operation: Funding for the operation and staffing of primary healthcare clinics.,Health,Outpatient services
General Health Screenings: Provision of regular health screening programs for early detection of diseases.,Health,Outpatient services
Vaccination Programs: Funding for vaccination campaigns against various infectious diseases.,Health,Outpatient services
Community Health Outreach: Resources for health education and preventative care in community settings.,Health,Outpatient services
"Emergency Medical Services: Support for emergency medical response services, including ambulance services.",Health,Outpatient services
Cardiology Services: Funding for specialized heart disease treatment and diagnostic services.,Health,Outpatient services
"Oncology Treatment Programs: Investment in cancer treatment facilities, including chemotherapy and radiation therapy.",Health,Outpatient services
Neurology Services: Funding for treatment and research related to neurological disorders.,Health,Outpatient services
"Pediatric Specialized Care: Provision of specialized medical services for children, including neonatal care.",Health,Outpatient services
Psychiatric and Mental Health Services: Resources for specialized psychiatric care and mental health treatment facilities.,Health,Outpatient services
Public Dental Clinics: Funding for the operation of dental clinics providing services to the public.,Health,Outpatient services
School Dental Programs: Initiatives to provide dental check-ups and treatments in schools.,Health,Outpatient services
Oral Health Education: Resources for public education campaigns on oral hygiene and preventative care.,Health,Outpatient services
Subsidized Dental Care for Low-Income Families: Providing financial assistance for dental care to underprivileged families.,Health,Outpatient services
Orthodontic Treatment Services: Specialized services for orthodontic treatments and surgeries.,Health,Outpatient services
"Mobile Health Clinics: Operation of mobile clinics to provide medical, dental, and paramedical services in remote areas.",Health,Outpatient services
Telehealth Services: Investment in telehealth for remote medical consultations and services.,Health,Outpatient services
Community Mental Health Services: Funding for mental health services provided in community settings.,Health,Outpatient services
Palliative Care Programs: Specialized care services for patients with terminal illnesses.,Health,Outpatient services
Nutrition and Dietetics Services: Provision of dietary and nutritional counseling and services.,Health,Outpatient services
Construction and Equiping Children Hospital- MTRH,Health,Hospital services
Expansion and Equipping of ICU-MTRH,Health,Hospital services
Construction of a Cancer Centre at Kisii Level 5 Hospital,Health,Hospital services
Support to Universal Health Care in the Devolved System in Kenya,Health,Hospital services
Reconstruction of Drugs Rehabilitation Centre at Coast Gen. Hosp.,Health,Hospital services
Construction of a Hospital in Kiyawara - Kieni East Constituency,Health,Hospital services
Integrated Molecular Imaging Centre (KUTRRH),Health,Hospital services
Infrastructural Support to Kigumo Hospital,Health,Hospital services
Renovation & Improvement for Gatundu Level 5 Hospital,Health,Hospital services
Equipping of Bildad Kaggia Level 4 Hospital - Murang'a,Health,Hospital services
Clinical Laboratory And Radiology Services Improvement.,Health,Hospital services
Clinical Laboratory And Radiology Services - HeradQuarters,Health,Hospital services
Expansion of Ileho Health Centre (KIDDP).,Health,Hospital services
Construction of provincial hospital in Ghazni,Health,Hospital services
Construction of Parwan Provincial Hospital,Health,Hospital services
Construction of provincial hospital in Baghlan,Health,Hospital services
Construction of hospital in District of Lal-Sarjangal in Ghor Province,Health,Hospital services
Construction of Jawzjan Provincial Hospital,Health,Hospital services
Construction of 50 beds hospital of Seyagurd District of Parwan Province,Health,Hospital services
Construction of Hospital at rodat dehbala and hesarak sherzad district of Nangerhar,Health,Hospital services
Operationalizing Kidney Hospital and Fatima ul Zahra Hospital,Health,Hospital services
"Construction of District Hospital in Batikot, Basic Health Clinic in Khewa and Administrative building for Public health Dirrectorate",Health,Hospital services
npatient Care Facilities: Funding for inpatient wards and rooms.,Health,Hospital services
Emergency Room Equipment and Staffing: Resources for emergency department operations.,Health,Hospital services
Hospital Laboratory Services: Investment in hospital laboratory equipment and services.,Health,Hospital services
"Radiology and Imaging Services: Funding for X-ray, MRI, and other imaging services.",Health,Hospital services
Operating Theatres: Maintenance and equipment for surgical operation rooms.,Health,Hospital services
Hospital Pharmacy Services: Resources for in-hospital pharmacy operations.,Health,Hospital services
"General Medical Supplies: Procurement of medical supplies like syringes, bandages, and gloves.",Health,Hospital services
Patient Food Services: Provision of meals and dietary services for inpatients.,Health,Hospital services
Hospital Administration: Funding for administrative functions and staff.,Health,Hospital services
"Utility Costs for Hospital Operations: Covering costs for utilities like electricity, water, and gas.",Health,Hospital services
Cardiac Care Units: Specialized units for patients with heart conditions.,Health,Hospital services
Oncology Treatment Facilities: Facilities and equipment for cancer treatment.,Health,Hospital services
Neonatal Intensive Care Units (NICUs): Care units for premature or critically ill newborns.,Health,Hospital services
Burn Treatment Centers: Specialized care for patients with severe burns.,Health,Hospital services
Transplant Services: Facilities and resources for organ transplant surgeries.,Health,Hospital services
Geriatric Care Units: Specialized care for elderly patients.,Health,Hospital services
Psychiatric Wards: Specialized units for patients with mental health conditions.,Health,Hospital services
Rehabilitation Services: Facilities and programs for physical rehabilitation.,Health,Hospital services
Dialysis Centers: Facilities for patients requiring kidney dialysis.,Health,Hospital services
Pediatric Specialty Care: Specialized care units for children with various conditions.,Health,Hospital services
Prenatal Care Programs: Services for expectant mothers during pregnancy.,Health,Hospital services
Birthing Centers: Facilities and resources for childbirth.,Health,Hospital services
Postnatal Care: Care and support for mothers and newborns after birth.,Health,Hospital services
Family Planning Services: Resources and counseling for family planning.,Health,Hospital services
Outpatient Medical Clinics: Funding for clinics providing general medical services.,Health,Hospital services
Vaccination Clinics: Clinics dedicated to administering vaccines.,Health,Hospital services
Walk-in Clinic Services: Funding for walk-in clinics offering non-emergency care.,Health,Hospital services
Diagnostic and Screening Services: Facilities for health screenings and diagnostic tests.,Health,Hospital services
Specialist Consultation Services: Funding for specialist medical consultations at centers.,Health,Hospital services
Community Health Education: Programs to educate the community on health and wellness.,Health,Hospital services
Long-term Care Facilities: Resources for the operation of long-term care homes.,Health,Hospital services
Palliative Care Services: Providing end-of-life care and support.,Health,Hospital services
Physical Therapy Services: On-site physical therapy for residents.,Health,Hospital services
Occupational Therapy Programs: Therapy to help residents maintain daily living skills.,Health,Hospital services
Memory Care Units: Specialized care for residents with Alzheimer’s or dementia.,Health,Hospital services
Respite Care Services: Temporary care to provide relief for regular caregivers.,Health,Hospital services
Skilled Nursing Care: Advanced medical care provided by licensed nurses.,Health,Hospital services
Convalescent Home Rehabilitation Services: Rehabilitation services in convalescent homes.,Health,Hospital services
Nutritional Services: Meal planning and preparation for specific dietary needs.,Health,Hospital services
Activity and Social Programs: Organized activities for engagement and socialization of residents.,Health,Hospital services
Telemedicine Services: Implementation of telemedicine for various patient consultations.,Health,Hospital services
Patient Transport Services: Transport services for patients between different healthcare facilities.,Health,Hospital services
Medical Staff Training and Development: Continuous training programs for medical staff.,Health,Hospital services
Health Information Systems: Investment in electronic health records and information systems.,Health,Hospital services
Infection Control Programs: Measures and equipment to prevent hospital-acquired infections.,Health,Hospital services
Healthcare Accreditation Fees: Costs associated with maintaining healthcare accreditation standards.,Health,Hospital services
Patient Safety Initiatives: Programs focused on enhancing patient safety in healthcare settings.,Health,Hospital services
Environmental Services: Maintenance of clean and sanitary conditions in healthcare facilities.,Health,Hospital services
Healthcare Facility Expansion Projects: Funding for expanding existing healthcare facilities.,Health,Hospital services
Home Healthcare Support Services: Resources to support healthcare services provided in patients' homes.,Health,Hospital services
Community Health Centers: Funding for local health centers providing basic healthcare services.,Health,Public health services
Vaccination Programs: Resources for vaccination campaigns against infectious diseases.,Health,Public health services
Health Promotion Campaigns: Initiatives promoting healthy lifestyles and preventive care.,Health,Public health services
Disease Surveillance Systems: Investment in systems for monitoring and tracking disease outbreaks.,Health,Public health services
Epidemic Preparedness and Response: Resources for preparing and responding to epidemics.,Health,Public health services
Maternal and Child Health Programs: Services focused on the health of mothers and children.,Health,Public health services
Nutrition and Food Safety Programs: Initiatives to promote nutrition and ensure food safety.,Health,Public health services
Substance Abuse Prevention and Treatment: Programs for preventing and treating drug and alcohol abuse.,Health,Public health services
Mental Health Services: Funding for mental health counseling and treatment facilities.,Health,Public health services
Sexual Health Clinics: Resources for clinics providing sexual health services.,Health,Public health services
"School Health Services: Health services provided in schools, including screenings and education.",Health,Public health services
Public Health Laboratory Services: Investment in public health labs for testing and research.,Health,Public health services
Environmental Health Programs: Initiatives to address health issues related to environmental factors.,Health,Public health services
Occupational Health and Safety: Programs focusing on health and safety in the workplace.,Health,Public health services
Healthcare Workforce Development: Training and development programs for healthcare professionals.,Health,Public health services
Health Information and Research: Funding for health research and information dissemination.,Health,Public health services
Health Screening Programs: Initiatives for regular health screenings and early detection of diseases.,Health,Public health services
Chronic Disease Management Programs: Resources for managing chronic conditions like diabetes and heart disease.,Health,Public health services
Injury Prevention Programs: Campaigns and initiatives to prevent injuries.,Health,Public health services
Tobacco Control Programs: Efforts to reduce tobacco use and its health impacts.,Health,Public health services
HIV/AIDS Prevention and Treatment: Programs for the prevention and treatment of HIV/AIDS.,Health,Public health services
Public Health Emergency Funds: Reserved funds for rapid response to public health emergencies.,Health,Public health services
Health Equity Initiatives: Programs aimed at reducing health disparities among different population groups.,Health,Public health services
Healthcare Access Programs: Initiatives to improve access to healthcare services.,Health,Public health services
Public Health Policy Development: Resources for developing effective public health policies.,Health,Public health services
Community Mental Health Initiatives: Programs to support mental health at the community level.,Health,Public health services
Health Data Analytics: Investment in data analysis for informed public health decision-making.,Health,Public health services
Rural Health Services: Special programs addressing the health needs of rural populations.,Health,Public health services
Immunization Registry and Tracking: Systems for tracking immunization records and coverage.,Health,Public health services
Public Health Workforce Training: Training programs for public health workers and officials.,Health,Public health services
Telehealth Services Expansion: Extending telehealth services for wider healthcare access.,Health,Public health services
Health Literacy Programs: Initiatives to improve the public's understanding of health information.,Health,Public health services
Vector Control Programs: Efforts to control disease-carrying vectors like mosquitoes.,Health,Public health services
Emergency Medical Services: Funding for emergency medical response capabilities.,Health,Public health services
Reproductive Health Services: Programs focused on reproductive health and family planning.,Health,Public health services
Health Impact Assessments: Conducting assessments to understand the health impacts of policies and projects.,Health,Public health services
Geriatric Health Services: Healthcare services tailored to the needs of the elderly.,Health,Public health services
Health Promotion in Vulnerable Populations: Targeted health promotion efforts in underserved communities.,Health,Public health services
Public Health Accreditation: Costs associated with maintaining public health accreditation standards.,Health,Public health services
Zoonotic Disease Prevention: Programs addressing diseases that can be transmitted from animals to humans.,Health,Public health services
Healthcare Navigators and Counselors: Resources for personnel who assist individuals in accessing healthcare services.,Health,Public health services
Community-Based Health Initiatives: Support for health initiatives led by community organizations.,Health,Public health services
Public Health Advocacy: Funding for advocacy efforts in promoting public health issues.,Health,Public health services
Infectious Disease Control: Initiatives to control and prevent the spread of infectious diseases.,Health,Public health services
Health Program Evaluation and Improvement: Resources for evaluating and improving the effectiveness of health programs.,Health,Public health services
Cultural Competence Training: Training for healthcare providers in cultural competence to enhance service delivery.,Health,Public health services
Health Disaster and Crisis Support: Preparedness and response to health-related disasters and crises.,Health,Public health services
Smoking Cessation Programs: Programs to assist individuals in quitting smoking.,Health,Public health services
National hemodaily,Health,Public health services
Improvement of Health Services Delivery through expansion of the Health system strengthening efforts,Health,Public health services
Enhancing innovative strategies to meet the challenges of TB,Health,Public health services
Health System Strengthening (Round 3),Health,Public health services
National program of cancer diagnosis,Health,Public health services
Rebis disease control,Health,Public health services
